Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	PAM	0.999096905	0	0	0.999096905
Dexamethasone	UCN2	0.999999146	0	0	0.999999146
Dexamethasone	CCL5	0.845470020619048	0	0.0952380952380952	0.829203707
Dexamethasone	EIF4E2	1	0	0	1
Dexamethasone	MEF2C	0.333333333333333	0	0.333333333333333	0
Dexamethasone	ANXA3	0.676288169333333	0	0.333333333333333	0.514432254
Dexamethasone	NMT1	0.978638694	0	0	0.978638694
Dexamethasone	KLK10	0.026562541	0	0	0.026562541
Dexamethasone	MRAP	0.999999996	0	0	0.999999996
Dexamethasone	SLC22A2	0.999437924	0	0	0.999437924
Dexamethasone	RAG1	1	0	0	1
Dexamethasone	TLR7	0.999628516	0	0	0.999628516
Dexamethasone	CYP2B6	0.999995299	0	0	0.999995299
Dexamethasone	IL6	1	0	0.333333333333333	1
Dexamethasone	HDAC10	0.116556262	0	0	0.116556262
Dexamethasone	GSTM2	0.999999941	0	0	0.999999941
Dexamethasone	SNX5	0.333333333333333	0	0.333333333333333	0
Dexamethasone	BTN1A1	0.990190528	0	0	0.990190528
Dexamethasone	LTB	0.98621965	0	0	0.98621965
Dexamethasone	MYEF2	1	0	0	1
Dexamethasone	ABCF2	0.290869775	0	0	0.290869775
Dexamethasone	GZMA	0.991060083	0	0	0.991060083
Dexamethasone	STAT6	0.999989216142857	0	0.0952380952380952	0.999988081
Dexamethasone	CD68	0.999999629	0	0	0.999999629
Dexamethasone	KDR	1	0	0	1
Dexamethasone	SPN	0.99999996	0	0	0.99999996
Dexamethasone	PPIE	0.000252973000000045	0	0	0.000252973
Dexamethasone	MCC	0.999999994	0	0	0.999999994
Dexamethasone	CMA1	0.999974314	0	0	0.999974314
Dexamethasone	MANF	0.501697618	0	0	0.501697618
Dexamethasone	PER1	0.815867824285714	0	0.0952380952380952	0.79648549
Dexamethasone	CRBN	0.99999999	0	0	0.99999999
Dexamethasone	ASS1	0.916737859	0	0	0.916737859
Dexamethasone	GK2	0.824753094	0	0	0.824753094
Dexamethasone	MT1E	0.995755045	0	0	0.995755045
Dexamethasone	DEFB1	0.999999969	0	0	0.999999969
Dexamethasone	NPY6R	1	0	0	1
Dexamethasone	GTPBP1	1	0	0	1
Dexamethasone	BCL2L11	0.99999792	0	0.333333333333333	0.99999688
Dexamethasone	CTSE	0.589985631	0	0	0.589985631
Dexamethasone	LEF1	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	FAH	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	SERPINE2	0.999998325285714	0	0.0952380952380952	0.999998149
Dexamethasone	CYB5R3	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	RPLP2	0.853910909	0	0	0.853910909
Dexamethasone	OCLN	0.995627146	0	0	0.995627146
Dexamethasone	ARHGDIB	0.827950976	0	0	0.827950976
Dexamethasone	ABCC2	0.61433478	0	0	0.61433478
Dexamethasone	ALOX12	0.999895416	0	0	0.999895416
Dexamethasone	PPP1R13L	0.171886284	0	0	0.171886284
Dexamethasone	UFC1	0.98631058	0	0	0.98631058
Dexamethasone	TMEM109	1	0	0	1
Dexamethasone	BMF	0.441894095	0	0	0.441894095
Dexamethasone	FAM3B	0.225506969	0	0	0.225506969
Dexamethasone	RIPK3	0.970150083	0	0	0.970150083
Dexamethasone	STK17A	0.231617768	0	0	0.231617768
Dexamethasone	CORO1A	0.854939666	0	0	0.854939666
Dexamethasone	TYW1B	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	WT1	1	0	0	1
Dexamethasone	SLC25A24	0.356182832	0	0	0.356182832
Dexamethasone	GJB6	0.999678763	0	0	0.999678763
Dexamethasone	GPR65	0.999999978	0	0	0.999999978
Dexamethasone	LPCAT3	0.999975961	0	0	0.999975961
Dexamethasone	DPYD	0.999999867	0	0	0.999999867
